New York City


Sex and Age
 Show Reliability Data,Selected Area,Selected Area,Selected Area,Selected Area,Selected Area,Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Midtown South-Flatiron-Union Square (MN0501),Difference,Difference,Difference,Difference
 Show Reliability Data,Number,Number,Number,Percent,Percent,Number,Number,Number,Percent,Percent,Number ,Number ,Pctg. Pt. ,Pctg. Pt. 
 Show Reliability Data,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,CV ,Estimate,MOE ,Estimate,MOE ,Estimate,MOE 
"$15,000 to $24,999","232,549","4,678",1.2,7.0%,0.1%,346,178,31.4,2.2%,1.1%,"232,203 ","4,681",4.8 ,1.1
"$25,000 to $34,999","209,643","4,372",1.3,6.3%,0.1%,383,159,25.3,2.4%,1.0%,"209,260 ","4,375",3.9 ,1.0
"$35,000 to $49,999","293,907","4,792",1.0,8.9%,0.1%,740,227,18.6,4.7%,1.4%,"293,167 ","4,797",4.2 ,1.4
"$50,000 to $74,999","439,817","6,207",0.9,13.3%,0.2%,962,251,15.9,6.1%,1.6%,"438,855 ","6,212",7.2 ,1.6
"$75,000 to $99,999","358,219","5,234",0.9,10.8%,0.2%,911,433,28.9,5.8%,2.7%,"357,308 ","5,252",5.0 ,2.7
"$100,000 to $149,999","505,509","6,617",0.8,15.3%,0.2%,"1,907",336,10.7,12.1%,2.0%,"503,602 ","6,626",3.2 ,2.0
"$150,000 to $199,999","308,697","5,232",1.0,9.3%,0.2%,"1,569",332,12.9,10.0%,2.0%,"307,128 ","5,243",-0.7,2.0
"$200,000 or more","555,974","6,266",0.7,16.8%,0.2%,"7,312",679,5.6,46.5%,3.5%,"548,662 ","6,303",-29.7 ,3.5
Median household income (dollars) ,"79,713",602,0.5,,,"182,280","17,977",6.0,,,"-102,567 ","17,987",,
Mean household income (dollars) ,"127,894",973,0.5,,,"278,931","33,172",7.2,,,"-151,037 ","33,186",,
,,,,,,,,,,,
Households with Social Security,"912,055","5,856",0.4,27.5%,0.2%,"2,440",375,9.3,15.5%,2.2%,"909,615 ","5,868",12.0 ,2.2
Households with retirement income,"603,503","6,532",0.7,18.2%,0.2%,"1,868",283,9.2,11.9%,1.7%,"601,635 ","6,538",6.3 ,1.7
Households with Supplemental Security Income,"241,563","4,666",1.2,7.3%,0.1%,510,256,30.5,3.2%,1.6%,"241,053 ","4,673",4.1 ,1.6
Households with cash public assistance income,"184,595","4,422",1.5,5.6%,0.1%,210,97,28.0,1.3%,0.6%,"184,385 ","4,423",4.3 ,0.6
Households with Food Stamp/SNAP benefits in the past 12 months,"668,761","7,338",0.7,20.2%,0.2%,798,253,19.3,5.1%,1.6%,"667,963 ","7,342",15.1 ,1.6
,,,,,,,,,,,
Family households,"1,928,865","9,723",0.3,100.0%,,"4,256",463,6.6,100.0%,,"1,924,609 ","9,734",0.0,0.0
"Family income of less than $10,000","93,698","3,154",2.0,4.9%,0.2%,142,114,48.9,3.3%,2.7%,"93,556 ","3,156",1.6,2.7
"$10,000 to $14,999","51,989","2,439",2.9,2.7%,0.1%,0,,,,,,,2.7,0.1
"$15,000 to $24,999","114,523","3,473",1.8,5.9%,0.2%,128,144,68.3,3.0%,3.4%,"114,395 ","3,476",2.9,3.4
"$25,000 to $34,999","120,542","3,396",1.7,6.2%,0.2%,61,56,56.0,1.4%,1.3%,"120,481 ","3,396",4.8 ,1.3
"$35,000 to $49,999","178,753","3,762",1.3,9.3%,0.2%,67,56,51.0,1.6%,1.3%,"178,686 ","3,762",7.7 ,1.3
"$50,000 to $74,999","265,498","4,727",1.1,13.8%,0.2%,105,66,38.4,2.5%,1.5%,"265,393 ","4,727",11.3 ,1.5
"$75,000 to $99,999","216,851","3,776",1.1,11.2%,0.2%,58,47,48.9,1.4%,1.1%,"216,793 ","3,776",9.8 ,1.1
"$100,000 to $149,999","313,618","5,166",1.0,16.3%,0.3%,265,108,24.9,6.2%,2.5%,"313,353 ","5,167",10.1 ,2.5
"$150,000 to $199,999","199,982","3,789",1.2,10.4%,0.2%,417,167,24.4,9.8%,3.8%,"199,565 ","3,793",0.6,3.8
"$200,000 or more","373,411","6,236",1.0,19.4%,0.3%,"3,013",435,8.8,70.8%,6.7%,"370,398 ","6,251",-51.4 ,6.7
Median family income (dollars) ,"90,619",748,0.5,,,"200,000+",,,,,,,,
,,,,,,,,,,,
Nonfamily households,"1,384,451","8,816",0.4,100.0%,,"11,480",822,4.4,100.0%,,"1,372,971 ","8,854",0.0,0.0
